Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
Alpha Home,ALPHA HOME,37,C,Ukkel,1,Gregory Fajga,,,,,+32496440270,info@alphahome.be,+32496440270,info@alphahome.be,,https://www.google.com/maps/search/Alpha%20Home%20Ukkel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
E.C.H. DEVELOPMENT,ECH DEVELOPMENT,37,C,Woluwe-Saint-Pierre,1,Lionel Henry,,,,,+3227794491,echd@skynet.be,,echd@skynet.be,,https://www.google.com/maps/search/E.C.H.%20DEVELOPMENT%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Ellem Properties,ELLEM PROPERTIES,37,C,Uccle,1,Gregory Bornet,,,,,+3223756476,greg.bornet@gmail.com,,greg.bornet@gmail.com,,https://www.google.com/maps/search/Ellem%20Properties%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Stéphanie Maquet,STPHANIE MAQUET,37,C,Sint-Stevens-Woluwe,1,Stéphanie Maquet,,,,,,,+32495465513,immogestion.sm@gmail.com,,https://www.google.com/maps/search/St%C3%A9phanie%20Maquet%20Sint-Stevens-Woluwe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immoderuydts,IMMODERUYDTS,37,C,Woluwe-Saint-Lambert,1,Florence De Ruydts,,,,,+32473281295,immoderuydts@gmail.com,+32473281295,immoderuydts@gmail.com,,https://www.google.com/maps/search/Immoderuydts%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
YOUR WAY,YOUR WAY,37,C,Woluwe-Saint-Pierre,1,Christine Seeber,,,,,+3227724928,christine@yourwayimmo.com,,christine@yourwayimmo.com,,https://www.google.com/maps/search/YOUR%20WAY%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Poplimont Immobilier,POPLIMONT IMMOBILIER,37,C,Woluwe-Saint-Pierre,1,Philippe Poplimont,,,,,+3226407817,immo@poplimont.be,,immo@poplimont.be,,https://www.google.com/maps/search/Poplimont%20Immobilier%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
AG PROPERTIES,AG PROPERTIES,37,C,Haeren,1,Anthony Gokinan,,,,,+3228801010,info@agproperties.be,,info@agproperties.be,,https://www.google.com/maps/search/AG%20PROPERTIES%20Haeren,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
GUESTIMMO,GUESTIMMO,37,C,Auderghem,1,Lionel Van Craen,,,,,+32478498753,lionel.vancraen@gmail.com,,lionel.vancraen@gmail.com,,https://www.google.com/maps/search/GUESTIMMO%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
DANILOVA ELENA,DANILOVA ELENA,37,C,Watermael-Boitsfort,1,Elena Danilova,,,,,+32498087875,elenadanilova@inbox.ru,,elenadanilova@inbox.ru,,https://www.google.com/maps/search/DANILOVA%20ELENA%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MAMA REALESTATE,MAMA REALESTATE,37,C,Woluwe-Saint-Pierre,1,Jean Corman,,,,,,jean.corman1898@gmail.com,,jean.corman1898@gmail.com,,https://www.google.com/maps/search/MAMA%20REALESTATE%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
TRILITHON,TRILITHON,37,C,Strombeek-Bever,1,Frank van Bellingen,,,,,+3222661000,els.colans@clegal.be,+3222661000,els.colans@clegal.be,,https://www.google.com/maps/search/TRILITHON%20Strombeek-Bever,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Lebrun Marie,LEBRUN MARIE,37,C,Wemmel,1,Marie Lebrun,,,,,,phd@ofep.be,,PhD@ofep.be,,https://www.google.com/maps/search/Lebrun%20Marie%20Wemmel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
NINETEEN PROPERTY,NINETEEN PROPERTY,37,C,Uccle,1,Nicolas Petit,,,,,+32472745036,nicolas@nineteen-property.be,+32472745036,nicolas@nineteen-property.be,,https://www.google.com/maps/search/NINETEEN%20PROPERTY%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Morgan’s  Real Estate,MORGANS REAL ESTATE,37,C,Strombeek-Bever,1,Morgan Cornélis,,,,,,,,Morgan@morgans.be,,https://www.google.com/maps/search/Morgan%E2%80%99s%20%20Real%20Estate%20Strombeek-Bever,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Century 21 Beyto,CENTURY 21 BEYTO,37,C,Zellik,1,Silva Kul,,,,,+3223096588,info@century21beyto.be,,info@century21beyto.be,,https://www.google.com/maps/search/Century%2021%20Beyto%20Zellik,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Sweet Home Properties,SWEET HOME PROPERTIES,37,C,Sint-Pieters-Woluwe,1,Fabienne Peetroons,,,,,+32477626767,fabienne.peetroons@victoire.be,,fabienne.peetroons@victoire.be,,https://www.google.com/maps/search/Sweet%20Home%20Properties%20Sint-Pieters-Woluwe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SOINVEST,SOINVEST,37,C,Uccle,1,Michel Staes,,,,,+3223721505,michel.staes@soinvest.be,,michel.staes@soinvest.be,,https://www.google.com/maps/search/SOINVEST%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Ellipsis Immo (DELEPINE srl),ELLIPSIS IMMO DELEPINE,37,C,Watermael-Boitsfort,1,Thierry Delepine,,,,,+3228802027,info@ellipsisimmo.be,,info@ellipsisimmo.be,,https://www.google.com/maps/search/Ellipsis%20Immo%20(DELEPINE%20srl)%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMVESTOR,IMMVESTOR,37,C,Strombeek-Bever,1,Jan Kurris,,,,,+3222675510,jankurris@hotmail.com,,jankurris@hotmail.com,,https://www.google.com/maps/search/IMMVESTOR%20Strombeek-Bever,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Chofimmo,CHOFIMMO,37,C,Wemmel,1,Kristof Meert,,,,,+32475295084,kmeert@skynet.be,,kmeert@skynet.be,,https://www.google.com/maps/search/Chofimmo%20Wemmel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
koen mertens,KOEN MERTENS,37,C,Sint-Pieters-Leeuw,1,Koen Mertens,,,,,+3223058474,expert.mertens@telenet.be,,expert.mertens@telenet.be,,https://www.google.com/maps/search/koen%20mertens%20Sint-Pieters-Leeuw,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Agence Molière,AGENCE MOLIRE,37,C,Linkebeek,1,Brigitte Warland,,,,,+3223466061,agence.moliere@skynet.be,,agence.moliere@skynet.be,,https://www.google.com/maps/search/Agence%20Moli%C3%A8re%20Linkebeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
EV MMC Belgium SRL/ Engel & Völkers,EV MMC BELGIUM ENGEL ET VLKERS,37,C,Woluwe-Saint-Pierre,1,Chantal Gaudissart,,,,,+3228804021,chantal.orban@engelvoelkers.com,,Chantal.orban@engelvoelkers.com,,https://www.google.com/maps/search/EV%20MMC%20Belgium%20SRL%2F%20Engel%20%26%20V%C3%B6lkers%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Eliago Invest,ELIAGO INVEST,37,C,Sint-Pieters-Leeuw,1,Pablo Alvarez Godoy,,,,,,pablo@dreamhouseinvest.com,,pablo@dreamhouseinvest.com,,https://www.google.com/maps/search/Eliago%20Invest%20Sint-Pieters-Leeuw,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Wiertz Development SA,WIERTZ DEVELOPMENT,37,C,Uccle,1,Isabelle Vanderkelen,,,,,+32479139237,isabelle.vdkln@gmail.com,+32479139237,isabelle.vdkln@gmail.com,,https://www.google.com/maps/search/Wiertz%20Development%20SA%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Be Mat Real Estate,BE MAT REAL ESTATE,37,C,Kraainem,1,Bénédicte Mat,,,,,,,+32476282463,benedicte.mat@gmail.com,,https://www.google.com/maps/search/Be%20Mat%20Real%20Estate%20Kraainem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Notimmex,NOTIMMEX,37,C,Groot-Bijgaarden,1,Fritz Horemans,,,,,+3224630505,fritz@notimmex.be,,fritz@notimmex.be,,https://www.google.com/maps/search/Notimmex%20Groot-Bijgaarden,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Panorama B2B Brussel BV,PANORAMA B2B BRUSSEL,37,C,Sint-Michiels,1,Philip Van Bruystegem,,,,,+3225402020,philip@panorama.immo,,philip@panorama.immo,,https://www.google.com/maps/search/Panorama%20B2B%20Brussel%20BV%20Sint-Michiels,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Teleworking Partners,TELEWORKING PARTNERS,37,C,Uccle,1,Dominique Tytgat,,,,,+3223756819,d.bamber100@gmail.com,,d.bamber100@gmail.com,,https://www.google.com/maps/search/Teleworking%20Partners%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Guchem Invest SRL,GUCHEM INVEST,37,C,Sint-Genesius-Rode,1,Gaëlle Billiet,,,,,,,,gaelle@guchem.be,,https://www.google.com/maps/search/Guchem%20Invest%20SRL%20Sint-Genesius-Rode,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
PAD,PAD,37,C,Sint-Genesius-Rode,1,Pascal Dagnelie,,,,,+32475600285,pascal.dagnelie@gmail.com,,pascal.dagnelie@gmail.com,,https://www.google.com/maps/search/PAD%20Sint-Genesius-Rode,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO DE LETTER - DE LETTER PASCAL BV,IMMO DE LETTER DE LETTER PASCAL,37,C,Vlezenbeek,1,Pascal De Letter,,,,,+3225810702,info@deletter.be,,info@deletter.be,,https://www.google.com/maps/search/IMMO%20DE%20LETTER%20-%20DE%20LETTER%20PASCAL%20BV%20Vlezenbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Schneider Properties,SCHNEIDER PROPERTIES,37,C,Wezembeek-Oppem,1,Bernd Schneider,,,,,+3227315412,berndschneider.pro@gmail.com,,berndschneider.pro@gmail.com,https://www.schneiderproperties.be,https://www.google.com/maps/search/Schneider%20Properties%20Wezembeek-Oppem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Dephi & Co,DEPHI ET CO,37,C,Wezembeek-Oppem,1,Philippe Degrave,,,,,+3227670707,info@dephiandco.com,,info@dephiandco.com,,https://www.google.com/maps/search/Dephi%20%26%20Co%20Wezembeek-Oppem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
WIMER  CONSULT,WIMER CONSULT,37,C,Kraainem,1,Patrick Mertens de Wilmars,,,,,+3226877405,p.mertensdewilmars@gmail.com,,p.mertensdewilmars@gmail.com,,https://www.google.com/maps/search/WIMER%20%20CONSULT%20Kraainem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Aster Consulting,ASTER CONSULTING,37,C,Kraainem,1,Saskia Roosen,,,,,+32472360014,saskia@aster-consulting.be,,saskia@aster-consulting.be,,https://www.google.com/maps/search/Aster%20Consulting%20Kraainem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Insula Properties,INSULA PROPERTIES,37,C,Sint-Genesius-Rode,1,Thierry Vermeire,,,,,+32475890957,thierry.vermeire@insula.be,,thierry.vermeire@insula.be,,https://www.google.com/maps/search/Insula%20Properties%20Sint-Genesius-Rode,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
WOLFIMMO,WOLFIMMO,37,C,Sint-Genesius-Rode,1,Paule Wolff,,,,,+3223757559,paul.wolff@scarlet.be,,paul.wolff@scarlet.be,,https://www.google.com/maps/search/WOLFIMMO%20Sint-Genesius-Rode,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SW PROPERTIES,SW PROPERTIES,37,C,Wezembeek-Oppem,1,Tanguy van der Straten Waillet,,,,,+32473861891,tanguyvds@outlook.com,,tanguyvds@outlook.com,,https://www.google.com/maps/search/SW%20PROPERTIES%20Wezembeek-Oppem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Harlaux,HARLAUX,37,C,Wezembeek-Oppem,1,Joëlle Harlaux,,,,,,,,joeh@skynet.be,,https://www.google.com/maps/search/Harlaux%20Wezembeek-Oppem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
LOGIC INVEST,LOGIC INVEST,37,C,Zaventem,1,Juan Mulle de Terschueren,,,,,+32477836606,juan.deterschueren@weinvest.be,,juan.deterschueren@weinvest.be,,https://www.google.com/maps/search/LOGIC%20INVEST%20Zaventem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
THB Real Estate,THB REAL ESTATE,37,C,Tervuren,1,Thomas Beuckelaers,,,,,+32477909797,thomas.beuckelaers@gmail.com,,thomas.beuckelaers@gmail.com,,https://www.google.com/maps/search/THB%20Real%20Estate%20Tervuren,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
City Trade SRL,CITY TRADE,37,C,Grimbergen,1,Redouan Saddiki,,,,,+32492094352,city.trade.immobilier@gmail.com,+32492094352,city.trade.immobilier@gmail.com,,https://www.google.com/maps/search/City%20Trade%20SRL%20Grimbergen,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Jimmy Dauphinais,JIMMY DAUPHINAIS,37,C,Rhode-Saint-Genèse,1,Jimmy Dauphinais,,,,,+3223802550,jimmydof@gmail.com,,jimmydof@gmail.com,,https://www.google.com/maps/search/Jimmy%20Dauphinais%20Rhode-Saint-Gen%C3%A8se,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Century 21 Home Sweet Home / AT Group BV,CENTURY 21 HOME SWEET HOME AT GROUP,37,C,Zaventem,1,Alexandre Pegorer,,,,,+3226409573,info@century21homesweethome.be,,info@century21homesweethome.be,,https://www.google.com/maps/search/Century%2021%20Home%20Sweet%20Home%20%2F%20AT%20Group%20BV%20Zaventem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CENTURY 21 Home Sweet Home,CENTURY 21 HOME SWEET HOME,37,C,Zaventem,1,Tarik Amaallem,,,,,+3226409573,info@century21homesweethome.be,,Info@century21homesweethome.be,,https://www.google.com/maps/search/CENTURY%2021%20Home%20Sweet%20Home%20Zaventem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Beheer & Consulting Bureau Bv,BEHEER ET CONSULTING BUREAU,37,C,Grimbergen,1,Steven Noben,,,,,,stevennoben@live.be,,stevennoben@live.be,,https://www.google.com/maps/search/Beheer%20%26%20Consulting%20Bureau%20Bv%20Grimbergen,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
HOME HORIZON IMMO,HOME HORIZON IMMO,35,C,Jette,1,Jessica Papadimitriu,,,,,,,,,,https://www.google.com/maps/search/HOME%20HORIZON%20IMMO%20Jette,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BIOT INVEST,BIOT INVEST,33,C,Bruxelles,2,Antoine Biot | Roberto Bouryaba Makanda,,,,,+32475833993,,,,,https://www.google.com/maps/search/BIOT%20INVEST%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
LAURENT G,LAURENT G,33,C,Ixelles,2,Duc Nguyen | Sonny Vanhecke,,,,,+32477511932,,,,,https://www.google.com/maps/search/LAURENT%20G%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SYNECTICS SRL - VIABILIS Immo (Nom commercial),SYNECTICS VIABILIS IMMO NOM COMMERCIAL,33,C,Saint-Gilles,3,Martin Vermeire | Ilirjan Hoxha | Elise Draily,,,,,+3226465000,,,,,https://www.google.com/maps/search/SYNECTICS%20SRL%20-%20VIABILIS%20Immo%20(Nom%20commercial)%20Saint-Gilles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO SALAMA,IMMO SALAMA,33,C,Ixelles,2,Brigitte Salama | Yaël Akoka,,,,,+32478340701,,,,,https://www.google.com/maps/search/IMMO%20SALAMA%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Goffin.ESTATE,GOFFINESTATE,32,C,Bruxelles,2,Pierre Goffin | Nicolas Vanoekel,,,,,+32498312341,pierre@goffin.estate,+32498312341,pierre@goffin.estate,,https://www.google.com/maps/search/Goffin.ESTATE%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Colliers,COLLIERS,32,C,Watermaal-Bosvoorde,2,Petar Timotic | David De Wolf,,,,,+3226482020,info@colliers.com,+3226482020,info@colliers.com,,https://www.google.com/maps/search/Colliers%20Watermaal-Bosvoorde,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ERA Leus,ERA LEUS,32,C,Zaventem,2,Dirk Vermeulen | Thomas Rummens,,,,,+3227252002,leus@era.be | reinout@eraleus.be,+3227252002,leus@era.be | Reinout@eraleus.be,,https://www.google.com/maps/search/ERA%20Leus%20Zaventem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
LECOBEL,LECOBEL,31,C,Ixelles,1,MICHEL PELEGE,+3223463355,contact@vaneau.fr,+3223463355,contact@vaneau.fr | lecobel@vaneau-lecobel.be,,,,,https://www.lecobel-vaneau.be,https://www.google.com/maps/search/LECOBEL%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,hubspot,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IDEALHOME,IDEALHOME,28,C,Bruxelles,1,Christophe de Viron,,,,,,,,,,https://www.google.com/maps/search/IDEALHOME%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Rue des Commerçants 16E,RUE DES COMMERANTS 16E,28,C,Bruxelles,1,Sarah Heirman,,,,,+32496498179,,+32496498179,,,https://www.google.com/maps/search/Rue%20des%20Commer%C3%A7ants%2016E%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Consultance et Gestion,CONSULTANCE ET GESTION,28,C,Bruxelles,1,Michel De Greef,,,,,+3220000000,,,,,https://www.google.com/maps/search/Consultance%20et%20Gestion%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Knight Frank Belgium,KNIGHT FRANK BELGIUM,28,C,Elsene,1,Brenda Goethals,,,,,+32475695871,,,,,https://www.google.com/maps/search/Knight%20Frank%20Belgium%20Elsene,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Style - Immo Lofts Group sprl,IMMO STYLE IMMO LOFTS GROUP,28,C,Etterbeek,1,Sandro Monteiro da Conceiçao,,,,,,,,,,https://www.google.com/maps/search/Immo%20Style%20-%20Immo%20Lofts%20Group%20sprl%20Etterbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Bréart,BRART,28,C,Saint-Gilles,1,Eric Oltz,,,,,+32460972233,,+32460972233,,,https://www.google.com/maps/search/Br%C3%A9art%20Saint-Gilles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Isabelle de Thier Real Estate,ISABELLE DE THIER REAL ESTATE,28,C,Ixelles,1,Isabelle de Thier,,,,,+32476612642,,+32476612642,,,https://www.google.com/maps/search/Isabelle%20de%20Thier%20Real%20Estate%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ISC srl,ISC,28,C,Etterbeek,1,Florence Gerard,,,,,+32486505152,,,,,https://www.google.com/maps/search/ISC%20srl%20Etterbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Rnmhouse,RNMHOUSE,28,C,Anderlecht,1,Ouizra El Amani,,,,,,,,,,https://www.google.com/maps/search/Rnmhouse%20Anderlecht,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Real Estate Land,REAL ESTATE LAND,28,C,Etterbeek,1,Damien Quinet,,,,,+32475961015,,,,,https://www.google.com/maps/search/Real%20Estate%20Land%20Etterbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
JT Properties,JT PROPERTIES,28,C,La Hulpe,1,Jacques Theate,,,,,+32475283358,,,,,https://www.google.com/maps/search/JT%20Properties%20La%20Hulpe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
REALVSTR SRL,REALVSTR,28,C,Ixelles,1,Charles Herbaut,,,,,+32479887403,,+32479887403,,,https://www.google.com/maps/search/REALVSTR%20SRL%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
GESTI CONSEIL IMMOBILIER,GESTI CONSEIL IMMOBILIER,28,C,Uccle,1,Hicham El Harchaoui,,,,,,,,,,https://www.google.com/maps/search/GESTI%20CONSEIL%20IMMOBILIER%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
